city_1,lat_1,lng_1,country_1,city_2,lat_2,lng_2,country_2,calc_distance_km,dist_km,duration_sec,estd_emissions_gm,estd_emissions_osrm_gm
Poznan,52.4083,16.9336,Poland,Erfurt,50.9833,11.0333,Germany,437.5268247414097,538.7068,19890.0,84005.15035035067,103431.70560000002
Poznan,52.4083,16.9336,Poland,Pskov,57.8167,28.3333,Russia,942.1962030206322,1198.1217,55325.2,180901.67097996137,230039.3664
Poznan,52.4083,16.9336,Poland,Oradea,47.0722,21.9211,Romania,693.5099104049096,973.9369,39920.7,133153.90279774266,186995.8848
Poznan,52.4083,16.9336,Poland,Rzeszow,50.0333,22.0,Poland,441.5318979249113,627.9385,22932.6,84774.12440158296,120564.192
Poznan,52.4083,16.9336,Poland,Rijeka,45.3272,14.4411,Croatia,808.2889229236498,1215.6059,47371.9,155191.47320134076,233396.3328
Poznan,52.4083,16.9336,Poland,Saarbrucken,49.2333,7.0,Germany,783.1467291047018,960.8883,34117.2,150364.17198810272,184490.55359999998
Poznan,52.4083,16.9336,Poland,Arad,46.175,21.3125,Romania,762.5675877107532,1166.7072,42728.9,146412.9768404646,224007.78240000003
Poznan,52.4083,16.9336,Poland,Salzburg,47.8,13.045,Austria,583.0067492985789,968.6016,34212.5,111937.29586532715,185971.5072
Poznan,52.4083,16.9336,Poland,Miskolc,48.0833,20.6667,Hungary,549.6852832031611,806.539,34277.3,105539.57437500694,154855.488
Poznan,52.4083,16.9336,Poland,Sibiu,45.7928,24.1519,Romania,904.0874275856866,1465.465,53656.3,173584.7860964518,281369.27999999997
Poznan,52.4083,16.9336,Poland,Bacau,46.5833,26.9167,Romania,969.3618548850724,1283.5598,61336.5,186117.4761379339,246443.4816
Poznan,52.4083,16.9336,Poland,Aalborg,57.05,9.9167,Denmark,685.8499879874648,989.2958,35627.5,131683.19769359325,189944.7936
Poznan,52.4083,16.9336,Poland,Targu-Mures,46.5456,24.5625,Romania,853.9320591349157,1231.9684,54655.0,163954.95535390382,236537.9328
Poznan,52.4083,16.9336,Poland,Bern,46.9481,7.4475,Switzerland,913.8312032001304,1194.0998,42580.4,175455.59101442504,229267.1616
Poznan,52.4083,16.9336,Poland,Luxembourg,49.6117,6.1319,Luxembourg,818.4315305810093,1001.5371,36686.4,157138.8538715538,192295.1232
Poznan,52.4083,16.9336,Poland,Innsbruck,47.2683,11.3933,Austria,696.4570854395381,989.3817,35645.4,133719.76040439133,189961.2864
Poznan,52.4083,16.9336,Poland,Vasteras,59.6161,16.5528,Sweden,802.875175587407,1642.5036,63205.8,154152.03371278214,315360.6912
Poznan,52.4083,16.9336,Poland,Orebro,59.2739,15.2075,Sweden,771.9476150513219,1547.5931,59232.2,148213.9420898538,297137.8752
Poznan,52.4083,16.9336,Poland,Baia Mare,47.6667,23.5833,Romania,710.116842024385,958.8962,45873.5,136342.43366868194,184108.0704
Poznan,52.4083,16.9336,Poland,Linkoping,58.4158,15.6253,Sweden,673.8987067304741,1462.5368,54858.1,129388.55169225103,280807.06560000003
Poznan,52.4083,16.9336,Poland,Uzhhorod,48.6239,22.295,Ukraine,566.9801803151761,791.1006,34812.3,108860.19462051381,151891.3152
